timestamp,ticker,missing_field
2026-02-02T14:15:55.622211,TSLA_Growth_MissingPEG,peg_ratio
2026-02-02T14:15:55.622435,NOK_MissingDebt,debt_to_ebitda
2026-02-02T14:15:55.622516,UNKNOWN_MissingAll,peg_ratio
2026-02-02T14:15:55.622549,UNKNOWN_MissingAll,debt_to_ebitda
2026-02-02T14:15:55.622582,UNKNOWN_MissingAll,altman_z_score
2026-02-02T14:15:55.622612,UNKNOWN_MissingAll,revenue_growth_3y
2026-02-02T14:22:47.742861,NVDA,debt_to_ebitda
2026-02-02T14:22:47.743258,NVDA,altman_z_score
2026-02-02T14:22:47.743312,NVDA,revenue_growth_3y
2026-02-02T14:22:48.599313,AAPL,debt_to_ebitda
2026-02-02T14:22:48.599589,AAPL,altman_z_score
2026-02-02T14:22:48.600160,AAPL,revenue_growth_3y
2026-02-02T14:22:49.556188,MSFT,debt_to_ebitda
2026-02-02T14:22:49.556439,MSFT,altman_z_score
2026-02-02T14:22:49.557007,MSFT,revenue_growth_3y
2026-02-02T14:22:50.555926,PLTR,debt_to_ebitda
2026-02-02T14:22:50.556174,PLTR,altman_z_score
2026-02-02T14:22:50.556688,PLTR,revenue_growth_3y
2026-02-02T14:22:51.601203,F,debt_to_ebitda
2026-02-02T14:22:51.601462,F,altman_z_score
2026-02-02T14:22:51.601970,F,revenue_growth_3y
2026-02-02T14:22:52.493905,INTC,peg_ratio
2026-02-02T14:22:52.494131,INTC,debt_to_ebitda
2026-02-02T14:22:52.494216,INTC,altman_z_score
2026-02-02T14:22:52.494294,INTC,revenue_growth_3y
2026-02-02T14:22:53.441910,BAC,debt_to_ebitda
2026-02-02T14:22:53.442141,BAC,altman_z_score
2026-02-02T14:22:53.442595,BAC,revenue_growth_3y
2026-02-02T14:22:54.358711,SNAP,peg_ratio
2026-02-02T14:22:54.358978,SNAP,debt_to_ebitda
2026-02-02T14:22:54.359427,SNAP,altman_z_score
2026-02-02T14:22:54.359512,SNAP,revenue_growth_3y
2026-02-02T14:22:55.193864,TDOC,peg_ratio
2026-02-02T14:22:55.194107,TDOC,debt_to_ebitda
2026-02-02T14:22:55.194605,TDOC,altman_z_score
2026-02-02T14:22:55.194699,TDOC,revenue_growth_3y
2026-02-02T14:22:59.844660,PARA,peg_ratio
2026-02-02T14:22:59.845091,PARA,debt_to_ebitda
2026-02-02T14:22:59.845522,PARA,altman_z_score
2026-02-02T14:22:59.845645,PARA,revenue_growth_3y
2026-02-02T14:23:22.916608,NVDA,debt_to_ebitda
2026-02-02T14:23:22.916945,NVDA,altman_z_score
2026-02-02T14:23:22.917032,NVDA,revenue_growth_3y
